Time,DCF,SD,PMF
1293,15210.2,0,18012.27
1296,15210.2,0,18012.27
1299,15210.2,0,18012.27
1302,15210.2,0,18012.27
1305,15210.2,0,18012.27
1308,15210.2,0,18012.27
1311,15210.2,0,18012.27
1314,15210.2,0,18012.27
1317,15210.2,0,18012.27
1320,15210.2,0,18012.27
1323,15210.2,0,18012.27
1326,15210.2,0,18012.27
1329,15210.2,0,18012.27
1332,15210.2,0,18012.27
1335,15210.2,0,18012.27
1338,15210.2,0,18012.27
1341,15210.2,0,18012.27
1344,15210.2,0,18012.27
1347,15210.2,0,18012.27
1350,15210.2,0,18012.27
1353,15210.2,0,18012.27
1356,15210.2,0,18012.27
1359,15210.2,0,18012.27
1362,15210.2,0,18012.27
1365,15210.2,0,18012.27
1368,15210.2,0,18012.27
1371,15210.2,0,18012.27
1374,15210.2,0,18012.27
1377,15210.2,0,18012.27
1380,15210.2,0,18012.27
1383,15210.2,0,18012.27
1386,15210.2,0,18012.27
1389,15210.2,0,18012.27
1392,15210.2,0,18012.27
1395,15210.2,0,18012.27
1398,15210.2,0,18012.27
1401,15210.2,0,18012.27
1404,15210.2,0,18012.27
1407,15210.2,0,18012.27
1410,15210.2,0,18012.27
1413,15210.2,0,18012.27
1416,15210.2,0,18012.27
1419,15210.2,0,18012.27
1422,15210.2,0,18012.27
1425,15210.2,0,18012.27
1428,15210.2,0,18012.27
1431,15210.2,0,18012.27
1434,15210.2,0,18012.27
1437,15210.2,0,18012.27
1440,15210.2,0,18012.27
1443,15210.2,0,18012.27
1446,15210.2,0,18012.27
1449,15210.2,0,18012.27
1452,15210.2,0,18012.27
1455,15210.2,0,18012.27
1458,15210.2,0,18012.27
1461,15210.2,0,18012.27
1464,15210.2,0,18012.27
1467,15210.2,0,18012.27
1470,15210.2,0,18012.27
1473,15210.2,0,18012.27
1476,15210.2,0,18012.27
1479,15210.2,0,18012.27
1482,15210.2,0,18012.27
1485,15210.2,0,18012.27
1488,15210.2,0,18012.27
1491,15210.2,0,18012.27
1494,15210.2,0,18012.27
1497,15210.2,0,18012.27
1500,15210.2,0,18012.27
1503,15210.2,0,18012.27
1506,15210.2,0,18012.27
1509,15210.2,0,18012.27
1512,15210.2,0,18012.27
1515,15210.2,0,18012.27
1518,15210.2,0,18012.27
1521,15210.2,0,18012.27
1524,15210.2,0,18012.27
1527,15210.2,0,18012.27
1530,15210.2,0,18012.27
1533,15210.2,0,18012.27
1536,15210.2,0,18012.27
1539,15210.2,0,18012.27
1542,15210.2,0,18012.27
1545,15210.2,0,18012.27
1548,15210.2,0,18012.27
1551,15210.2,0,18012.27
1554,15210.2,0,18012.27
1557,15210.2,0,18012.27
1560,15210.2,0,18012.27
1563,15210.2,0,18012.27
1566,15210.2,0,18012.27
1569,15210.2,0,18012.27
1572,15210.2,0,18012.27
1575,15210.2,0,18012.27
1578,15210.2,0,18012.27
1581,15210.2,0,18012.27
1584,15210.2,0,18012.27
1587,15210.2,0,18012.27
1590,15210.2,0,18012.27
1593,15210.2,0,18012.27
1596,15210.2,0,18012.27
1599,15210.2,0,18012.27
1602,15210.2,0,18012.27
1605,15210.2,0,18012.27
1608,15210.2,0,18012.27
1611,15210.2,0,18012.27
1614,15210.2,0,18012.27
1617,15210.2,0,18012.27
1620,15210.2,0,18012.27
1623,15210.2,0,18012.27
1626,15210.2,0,18012.27
1629,15210.2,0,18012.27
1632,15210.2,0,18012.27
1635,15210.2,0,18012.27
1638,15210.2,0,18012.27
1641,15210.2,0,18012.27
1644,15210.2,0,18012.27
1647,15210.2,0,18012.27
1650,15210.2,0,18012.27
1653,15210.2,0,18012.27
1656,15210.2,0,18012.27
1659,15210.2,0,18012.27
1662,15210.2,0,18012.27
1665,15210.2,0,18012.27
1668,15210.2,0,18012.27
1671,15210.2,0,18012.27
1674,15210.2,0,18012.27
1677,15210.2,0,18012.27
1680,15210.2,0,18012.27
1683,15210.2,0,18012.27
1686,15210.2,0,18012.27
1689,15210.2,0,18012.27
1692,15210.2,0,18012.27
1695,15210.2,0,18012.27
1698,15210.2,0,18012.27
1701,15210.2,0,18012.27
1704,15210.2,0,18012.27
1707,15210.2,0,18012.27
1710,15210.2,0,18012.27
1713,15210.2,0,18012.27
1716,15210.2,0,18012.27
1719,15210.2,0,18012.27
1722,15210.2,0,18012.27
1725,15210.2,0,18012.27
1728,15210.2,0,18012.27
1731,15210.2,0,18012.27
1734,15210.2,0,18012.27
1737,15210.2,0,18012.27
1740,15210.2,0,18012.27
1743,15210.2,0,18012.27
1746,15210.2,0,18012.27
1749,15210.2,0,18012.27
1752,15210.2,0,18012.27
1755,15210.2,0,18012.27
1758,15210.2,0,18012.27
1761,15210.2,0,18012.27
1764,15210.2,0,18012.27
1767,15210.2,0,18012.27
1770,15210.2,0,18012.27
1773,15210.2,0,18012.27
1776,15210.2,0,18012.27
1779,15210.2,0,18012.27
1782,15210.2,0,18012.27
1785,15210.2,0,18012.27
1788,15210.2,0,18012.27
1791,15210.2,0,18012.27
1794,15210.2,0,18012.27
1797,15210.2,0,18012.27
1800,15210.2,0,18012.27
